Store,MonthStartDate,MonthlySales,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,StoreType,Assortment,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,EMA_3,EMA_6,days_since_last_promo
1,2014-01-01,118814,26,10,8,4,0,1,0,2014,1,1,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,13,145168.0,127596.0,114641.0,128431.0,129135.0,15321.580303610976,123770.66666666667,12851.598121115783,133159.283203125,127374.03891057827,0.0
1,2014-02-01,110434,24,10,0,4,1,1,0,2014,2,1,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,14,118814.0,145168.0,127596.0,125271.0,130526.0,13419.091027338618,122234.33333333333,12791.133908558175,125986.6416015625,124928.3135075559,0.0
1,2014-03-01,116467,26,11,0,5,1,1,0,2014,3,1,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,15,110434.0,118814.0,145168.0,145169.0,124805.33333333333,18125.527449796682,120920.0,13650.10301792628,118210.32080078125,120787.08107682565,0.0
1,2014-04-01,115292,24,11,9,4,1,1,0,2014,4,2,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,16,116467.0,110434.0,118814.0,118009.0,115238.33333333333,4322.998534967712,122186.66666666667,12621.840557805615,117338.66040039062,119552.7721977326,0.0
1,2014-05-01,117715,25,11,0,5,0,1,0,2014,5,2,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,17,115292.0,116467.0,110434.0,118225.0,114064.33333333333,3198.3818304469173,122295.16666666667,12546.577261016917,116315.33020019531,118335.40871266613,0.0
1,2014-06-01,107905,23,10,0,4,0,1,0,2014,6,2,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,18,117715.0,115292.0,116467.0,113411.0,116491.33333333333,1211.6832644437197,120648.33333333333,12358.71949138206,117015.16510009766,118158.14908047579,0.0
1,2014-07-01,122604,27,13,3,4,1,1,0,2014,7,3,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,19,107905.0,117715.0,115292.0,128032.0,113637.33333333333,5110.035844623105,114437.83333333333,4323.109224466481,112460.08255004883,115228.67791462557,0.0
1,2014-08-01,111004,26,11,26,5,1,0,0,2014,8,3,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,20,122604.0,107905.0,117715.0,118320.0,116074.66666666667,7485.53073157361,115069.5,5264.746784034391,117532.04127502441,117335.91279616111,0.0
1,2014-09-01,106398,26,12,5,4,1,1,0,2014,9,3,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,21,111004.0,122604.0,107905.0,108867.0,113837.66666666667,7748.380497454481,115164.5,5168.637605791342,114268.0206375122,115526.79485440078,0.0
1,2014-10-01,114897,26,12,11,4,1,1,0,2014,10,4,c,a,1270.0,1,9.0,2008.0,0,0.0,0.0,none,22,106398.0,111004.0,122604.0,114641.0,113335.33333333333,8350.745196288346,113486.33333333333,6194.055688050215,110333.0103187561,112918.5677531434,0.0
